Year,Scientific Name,English Name,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,BC List,Identified Wildlife,Land Use Objectives,Biogeoclimatic Units,Ecosection,Forest District,MOE Region,Regional Dist,Municipality,Ecosystem Group,Endemic,CF Action Groups,CF Highest Priority,CF Priority Goal 1,CF Priority Goal 2,CF Priority Goal 3,CDC Maps,Mapping Status
2011,Abies amabilis - Picea sitchensis / Oplopanax horridus,amabilis fir - Sitka spruce / devil's club,C1A9CAAOH1,GNR,NA,S3,31/10/2004,31/03/2001,Blue,NA,NA,CWHvm1/08;CWHvm2/08,CPR;EPR;FRL;GEL;HEL;KIR;LIM;NAM;NCF;NIM;NPR;NWC;NWL;OUF;QCT;SOG;SPR;WIM,DCK;DCR;DKM;DNC;DNI;DSC;DSI;DSQ,1;2;5;6,MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;MWRD;CCRD;SQCRD;KSRD;FVRD,Sayward;Anmore;Port Moody;Port Hardy;Alert Bay;Port McNeill;Port Alice;Kent;Zeballos;Tahsis;Mission;Bowen Island;Pitt Meadows;Chilliwack;Squamish;North Vancouver (District);Coquitlam;West Vancouver;Maple Ridge;Belcarra;Gold River,"Riparian, Forest",NA,Classification; Inventory; Review Use,2,3,2,3,Y,NA
2011,Abies amabilis - Thuja plicata / Gymnocarpium dryopteris,amabilis fir - western redcedar / oak fern,C1A9CAAGD1,GNR,NA,S3,31/10/2004,29/09/1994,Blue,NA,NA,CWHms1/04;CWHms2/04;CWHws1/04;CWHws2/04,BUR;CPR;CRU;EPR;HOR;KIM;KIR;LPR;MEM;NAB;NAM;NCF;NEU;NPR;NWC;SBR;SPR;WCR,DCK;DCS;DKM;DNC;DND;DNI;DSC;DSQ;DSS,1;2;3;5;6;8,CXRD;STRD;PWRD;SLRD;TNRD;MWRD;CCRD;KSRD;BNRD;FVRD,Hope;Pemberton;Terrace;Whistler;Chilliwack;Kitimat,Forest,NA,Eco Protect; Inventory; Plan; Review Use,2,3,2,3,N,NA
2011,Abies amabilis - Thuja plicata / Oplopanax horridus Moist Submaritime,amabilis fir - western redcedar / devil's club Moist Submaritime,C1A9CATOH1,G3G4,NA,S3,31/10/2004,29/09/1994,Blue,NA,NA,CWHms1/06;CWHms2/06;CWHws1/06,CPR;EPR;HOR;KIM;KIR;LPR;MEM;NAM;NCF;NPR;NWC;SBR;SPR,DCK;DCS;DKM;DNC;DNI;DSC;DSQ,2;3;5;6;8,CXRD;STRD;PWRD;SLRD;TNRD;CCRD;KSRD;FVRD,Hope;Pemberton;Terrace;Whistler;Chilliwack;Kitimat,Forest,NA,Eco Protect; Inventory; Plan; Review Use,2,3,2,3,N,NA
2011,Abies amabilis - Thuja plicata / Oplopanax horridus Wet Submaritime,amabilis fir - western redcedar / devil's club Wet Submaritime,C2A2BATOH1,GNR,NA,S4,07/07/2004,07/07/2004,Yellow,NA,NA,CWHws2/06,BUR;CPR;CRU;KIM;KIR;MEM;NAB;NAM;NEU;NPR;SBR;WCR,DKM;DNC;DND;DNI;DSS,1;5;6,MWRD;CCRD;KSRD;BNRD,NA,Forest,NA,Monitor Trend; Plan; Review Use,2,3,2,4,N,NA
2011,Abies amabilis - Thuja plicata / Rubus spectabilis Moist Maritime 1,amabilis fir - western redcedar / salmonberry Moist Maritime 1,C2A2BAARS1,G3G4,NA,S1S2,31/10/2004,16/06/1992,Red,NA,NA,CWHmm1/07,LIM;OUF;WIM,DCR;DSC;DSI,1,CRD;CVRD;ACRD;CXRD;STRD,Cumberland,"Forest, Riparian",NA,Classification,Not Assessed,Not Assessed,Not Assessed,Not Assessed,N,NA
2011,Abies amabilis - Thuja plicata / Rubus spectabilis Moist Maritime 2,amabilis fir - western redcedar / salmonberry Moist Maritime 2,C2A2BAARS2,G3G4,NA,S2S3,31/10/2004,11/07/2002,Blue,NA,NA,CWHmm2/08,LIM;NAL;NIM,DCR;DSI,1,CRD;CVRD;RDN;ACRD;CXRD;STRD,Cumberland,"Forest, Riparian",NA,Classification; Eco Protect; Inventory; Plan; Review Use,2,3,6,2,N,NA
2011,Abies amabilis - Thuja plicata / Rubus spectabilis Very Wet Maritime,amabilis fir - western redcedar / salmonberry Very Wet Maritime,C1A9CAARS1,GNR,NA,S4,31/03/2001,15/06/2000,Yellow,NA,NA,CWHvm1/07;CWHvm2/07,CPR;EPR;FRL;GEL;HEL;KIR;LIM;NAM;NCF;NIM;NPR;NWC;NWL;OUF;QCT;SOG;SPR;WIM,DCK;DCR;DKM;DNC;DNI;DSC;DSI;DSQ,1;2;5;6,MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;MWRD;CCRD;SQCRD;KSRD;FVRD,Sayward;Anmore;Port Moody;Port Hardy;Alert Bay;Port McNeill;Port Alice;Kent;Zeballos;Tahsis;Mission;Bowen Island;Pitt Meadows;Chilliwack;Squamish;North Vancouver (District);Coquitlam;West Vancouver;Maple Ridge;Belcarra;Gold River,"Forest, Riparian",NA,Review Use,2,3,2,3,N,NA
2011,Abies amabilis - Thuja plicata / Tiarella trifoliata Moist Maritime 1,amabilis fir - western redcedar / three-leaved foamflower Moist Maritime 1,C1A9CAATT2,G2,02/09/2005,S2,02/09/2005,15/06/2000,Red,NA,NA,CWHmm1/05,LIM;OUF;WIM,DCR;DSC;DSI,1,CRD;CVRD;ACRD;CXRD;STRD,Cumberland,Forest,Y,Eco Protect; Inventory; Review Use,1,1,6,2,N,NA
2011,Abies amabilis - Thuja plicata / Tiarella trifoliata Very Wet Maritime,amabilis fir - western redcedar / three-leaved foamflower Very Wet Maritime,C1A9CAATT1,G3G4,NA,S3S4,29/12/2008,29/09/1994,Yellow,NA,NA,CWHmm2/05;CWHvm1/05;CWHvm2/05,CPR;EPR;FRL;GEL;HEL;KIR;LIM;NAL;NAM;NCF;NIM;NPR;NWC;NWL;OUF;QCT;SOG;SPR;WIM,DCK;DCR;DKM;DNC;DNI;DSC;DSI;DSQ,1;2;5;6,MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;MWRD;CCRD;SQCRD;KSRD;FVRD,Sayward;Anmore;Port Moody;Cumberland;Port Hardy;Alert Bay;Port McNeill;Port Alice;Kent;Zeballos;Tahsis;Mission;Bowen Island;Pitt Meadows;Chilliwack;Squamish;North Vancouver (District);Coquitlam;West Vancouver;Maple Ridge;Belcarra;Gold River,Forest,NA,Eco Protect; Inventory; Plan; Review Use,2,3,2,3,N,NA
2011,Abies amabilis - Tsuga mertensiana / Gymnocarpium dryopteris Moist Maritime 1,amabilis fir - mountain hemlock / oak fern Moist Maritime 1,C2A2BAAGD1,G4G5,NA,S4,07/07/2004,31/03/2001,Yellow,NA,NA,MHmm1/03,CPR;EPR;HEL;KIM;KIR;LIM;MEM;NAM;NIM;NPR;NWC;NWL;OUF;SBR;SPR;WIM,DCK;DCR;DKM;DNC;DNI;DSC;DSI;DSQ,1;2;5;6,MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;MWRD;CCRD;SQCRD;KSRD;FVRD,Stewart;Anmore;Mission;Squamish;North Vancouver (District);Coquitlam;West Vancouver;Maple Ridge;Kitimat,Forest,NA,No New Actn,4,4,4,5,N,NA
2011,Abies amabilis - Tsuga mertensiana / Gymnocarpium dryopteris Moist Maritime 2,amabilis fir - mountain hemlock / oak fern Moist Maritime 2,C2A2BAAGD2,GNR,NA,S4,31/03/2001,29/09/1994,Yellow,NA,NA,MHmm2/03,BUR;CCR;CPR;CRU;EPR;HOR;KIM;KIR;LPR;MEM;NAM;NPR;NWC;SBR;SCR;SPR;WCR,DCH;DCK;DCR;DCS;DKM;DNC;DND;DNI;DSC;DSQ;DSS,1;2;3;5;6,CXRD;STRD;PWRD;SCRD;SLRD;TNRD;CBRD;MWRD;CCRD;KSRD;BNRD;OSRD;FVRD,Stewart;Whistler;Chilliwack,Forest,Y,No New Actn,3,3,4,5,N,NA
2011,Abies amabilis - Tsuga mertensiana / Streptopus lanceolatus,amabilis fir - mountain hemlock / rosy twistedstalk,C1A9CAASR1,G4G5,NA,S4,19/09/2005,29/09/1994,Yellow,NA,NA,MHmm1/05;MHmm2/05,BUR;CCR;CPR;CRU;EPR;HEL;HOR;KIM;KIR;LIM;LPR;MEM;NAM;NIM;NPR;NWC;NWL;OUF;SBR;SCR;SPR;WCR;WIM,DCH;DCK;DCR;DCS;DKM;DNC;DND;DNI;DSC;DSI;DSQ;DSS,1;2;3;5;6,MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;TNRD;CBRD;MWRD;CCRD;SQCRD;KSRD;BNRD;OSRD;FVRD,Stewart;Anmore;Whistler;Mission;Chilliwack;Squamish;North Vancouver (District);Coquitlam;West Vancouver;Maple Ridge;Kitimat,Forest,NA,No New Actn,4,4,4,5,N,NA
2011,Abies grandis / Mahonia nervosa,grand fir / dull Oregon-grape,C1A9CAGMN1,G1,NA,S1,02/09/2005,15/06/2000,Red,NA,NA,CDFmm/04,FRL;GEL;NAL;SGI;SOG,DCK;DCR;DSC;DSI,1;2,MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD,Delta;Victoria;Highlands;Langford;Richmond;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;Duncan,Forest,NA,Eco Protect; Eco Restore; Plan; Private Land; Review Use; Status Rpt,1,1,6,1,Y,NA
2011,Abies grandis / Tiarella trifoliata,grand fir / three-leaved foamflower,C1A9CAGTT1,G1,NA,S1,31/10/2004,15/06/2000,Red,NA,NA,CDFmm/06,FRL;GEL;NAL;SGI;SOG,DCK;DCR;DSC;DSI,1;2,MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD,Delta;Victoria;Highlands;Langford;Richmond;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;Duncan,Forest,NA,Eco Protect; Eco Restore; Plan; Private Land; Review Use; Status Rpt,1,1,6,1,Y,NA
2011,Abies lasiocarpa - Abies amabilis / Athyrium filix-femina,subalpine fir - amabilis fir / lady fern,CEBC000201,GNR,NA,S4,31/03/2001,17/03/1993,Yellow,NA,NA,ESSFmw/07,CCR;CPR;EPR;HOR;KIM;LPR;NEU;NPR;SCR;WCR,DCH;DCK;DCS;DNI;DSC;DSQ,2;3;5;8,CXRD;STRD;SLRD;TNRD;CBRD;MWRD;CCRD;OSRD;FVRD,Whistler,Forest,NA,No New Actn,4,4,4,5,N,NA
2011,Abies lasiocarpa - Abies amabilis / Rhododendron albiflorum,subalpine fir - amabilis fir / white-flowered rhododendron,CEBC000196,GNR,NA,S5,31/03/2001,17/03/1993,Yellow,NA,NA,ESSFmw/01,CCR;CPR;EPR;HOR;KIM;LPR;NEU;NPR;SCR;WCR,DCH;DCK;DCS;DNI;DSC;DSQ,2;3;5;8,CXRD;STRD;SLRD;TNRD;CBRD;MWRD;CCRD;OSRD;FVRD,Whistler,Forest,NA,No New Actn,6,6,6,6,N,NA
2011,Abies lasiocarpa - Abies amabilis - Tsuga mertensiana / Menziesia ferruginea,subalpine fir - amabilis fir - mountain hemlock / false azalea,CEBC000199,GNR,NA,S5,31/03/2001,17/03/1993,Yellow,NA,NA,ESSFmw/05,CCR;CPR;EPR;HOR;KIM;LPR;NEU;NPR;SCR;WCR,DCH;DCK;DCS;DNI;DSC;DSQ,2;3;5;8,CXRD;STRD;SLRD;TNRD;CBRD;MWRD;CCRD;OSRD;FVRD,Whistler,Forest,NA,No New Actn,6,6,6,6,N,NA
2011,Abies lasiocarpa / Alnus spp. / Equisetum spp.,subalpine fir / alders / horsetails,CEBC000521,GNR,NA,S3,31/10/2004,11/07/2002,Blue,NA,NA,ESSFmv2/06;ESSFmv4/05,CAR;EMR;FRR;FRT;HAF;HAP;KIP;MIR;MUF;NOM;PAT;PEF;SHR;WMR,DMK;DPC;DPG,7;9,FFRD;PRRD;SKRD,Chetwynd;Hudsons Hope;Tumbler Ridge,Forest,NA,Monitor Trend,4,5,4,4,N,NA
2011,Abies lasiocarpa / Athyrium filix-femina - Equisetum spp.,subalpine fir / lady fern - horsetails,CEBC000014,GNR,NA,S4,31/03/2001,22/09/1994,Yellow,NA,NA,ESSFmk/07;ESSFwk1/07;ESSFwv/09,BOV;BUR;CAM;CAP;CBR;CRU;ESM;KIM;MCP;MEM;NAB;NAM;NBR;NEU;NSM;QUH;QUL;SBP;SBR;SSM;STH;TAG;TEP;THH;UFT,DCC;DHW;DJA;DKM;DMH;DNC;DND;DNI;DPG;DQU;DSS,3;5;6;7,TNRD;CBRD;CCRD;KSRD;BNRD;FFRD;SKRD,Stewart;Wells,Forest,NA,No New Actn,4,4,4,5,N,NA
2011,Abies lasiocarpa / Cladina spp. - Cladonia spp.,subalpine fir / reindeer lichens - clad lichens,CEBC000493,GNR,NA,S3,09/04/2009,09/04/2009,Blue,NA,NA,ESSFmm1/03,BBT;CAM;CPK;NPK;SHR;UFT,DCC;DCO;DHW;DPG,3;4;5;7,TNRD;CSRD;CBRD;FFRD,NA,Forest,NA,Monitor Trend,4,4,4,4,N,NA
2011,Abies lasiocarpa / Equisetum spp. / Mnium spp.,subalpine fir / horsetails / leafy mosses,CEBC000777,GNR,NA,S4,31/03/2001,29/09/1994,Yellow,NA,NA,ESSFdc1/06;ESSFdv/06;ESSFmc/09;ESSFmc/10;ESSFmv1/05;ESSFwc1/04;ESSFwc4/06;ESSFwk1/06;ESSFwv/08;ESSFxc/08;ESSFxv1/08;ESSFxv2/08,BAU;BOV;BUB;BUR;CAM;CAP;CBR;CCM;CCR;CHP;CPR;CRU;ESM;GUU;HOR;KIM;LPR;MAP;MCP;MEM;NAB;NAM;NAU;NBR;NEU;NIB;NKM;NOH;NOM;NSM;NTU;OKR;PAR;QUH;QUL;SBP;SBR;SCM;SCR;SFH;SHB;SRH;SSM;STH;TAG;TEP;THH;TRU;UFT;WCR;WCU;WOU,DAB;DCC;DCH;DCO;DCS;DHW;DJA;DKA;DKL;DKM;DMH;DMK;DNC;DND;DNI;DOS;DPG;DQU;DSQ;DSS;DVA,2;3;4;5;6;7;8,CKRD;SLRD;TNRD;CORD;NORD;CSRD;CBRD;CCRD;KSRD;KBRD;BNRD;FFRD;PRRD;SKRD;OSRD,Stewart;Wells;Rossland;Logan Lake,"Forest, Riparian",NA,No New Actn,4,4,4,5,N,NA
2011,Abies lasiocarpa / Equisetum spp. / Pleurozium schreberi,subalpine fir / horsetails / red-stemmed feathermoss,CEBC000515,GNR,NA,S4,08/06/2004,08/06/2004,Yellow,NA,NA,ESSFmv3/07,BAU;ESM;MAP;NEL;NOM;PAT;SOM,DJA;DMK;DND;DPG;DSS,6;7,BNRD;FFRD;PRRD;SKRD,NA,Forest,NA,No New Actn,4,4,4,5,N,NA
2011,Abies lasiocarpa / Gymnocarpium dryopteris / Dicranum spp.,subalpine fir / oak fern / heron's-bill mosses,CEBC000773,GNR,NA,S5,31/03/2001,23/03/1993,Yellow,NA,NA,ESSFmc/06;ESSFwv/05,BAU;BUB;BUR;CBR;CRU;ESM;KIM;MAP;MEM;NAB;NAM;NAU;NBR;NEU;NOM;NSM;SBP;SBR;SSM;STH;TAG;TEP;THH;WCR,DJA;DKM;DMK;DNC;DND;DNI;DSS,5;6;7,CBRD;CCRD;KSRD;BNRD;PRRD;SKRD,Stewart,Forest,NA,No New Actn,5,5,6,6,N,NA
2011,Abies lasiocarpa / Gymnocarpium dryopteris - Equisetum spp.,subalpine fir / oak fern / horsetails,CEBC003004,GNR,NA,S5,21/06/2004,21/06/2004,Yellow,NA,NA,ESSFmw/08;ESSFwc2/08;ESSFwk2/06,BBT;CAM;CAP;CCR;CPK;CPR;EPR;FRR;HAF;HOR;KIM;LPR;MCP;MIR;NEL;NEU;NHR;NKM;NPK;NPR;NSH;NTU;PAT;PEF;QUH;SCR;SHR;SRH;UFT;WCR,DCH;DCK;DCO;DCS;DHW;DKA;DMK;DNI;DOS;DPC;DPG;DSC;DSQ,2;3;4;5;7;8;9,CXRD;STRD;SLRD;TNRD;CSRD;CBRD;MWRD;CCRD;FFRD;PRRD;OSRD;FVRD,Whistler;Mackenzie;Tumbler Ridge,Forest,NA,No New Actn,6,6,6,6,N,NA
2011,Abies lasiocarpa / Gymnocarpium dryopteris / Ptilium crista-castrensis,subalpine fir / oak fern / knight's plume,CEBC000009,GNR,NA,S5,31/03/2001,04/03/1993,Yellow,NA,NA,ESSFmv2/04;ESSFmv3/04;ESSFwk1/01;ESSFwk1/03;ESSFwk2/01;ESSFwk2/02;ESSFwk2/03,BAU;BOV;CAM;CAP;ESM;FRR;HAF;KIP;MAP;MCP;MIR;NEL;NHR;NOM;PAT;PEF;QUH;QUL;SHR;SOM;UFT,DCC;DHW;DJA;DMH;DMK;DND;DPC;DPG;DQU;DSS,3;5;6;7;9,TNRD;CBRD;BNRD;FFRD;PRRD;SKRD,Chetwynd;Mackenzie;Wells;Hudsons Hope;Tumbler Ridge,Forest,NA,No New Actn,5,5,6,5,N,NA
2011,Abies lasiocarpa / Gymnocarpium dryopteris - Rubus pedatus,subalpine fir / oak fern - five-leaved bramble,CEBC000495,GNR,NA,S4,31/03/2001,31/03/2001,Yellow,NA,NA,ESSFmm1/05,BBT;CAM;CPK;NPK;SHR;UFT,DCC;DCO;DHW;DPG,3;4;5;7,TNRD;CSRD;CBRD;FFRD,NA,Forest,NA,No New Actn,4,4,4,5,N,NA
2011,Abies lasiocarpa / Juniperus communis / Cladonia spp.,subalpine fir / common juniper / clad lichens,CEBC000197,GNR,NA,S4,11/07/2002,11/07/2002,Yellow,NA,NA,ESSFmc/02;ESSFmw/02,BAU;BUB;BUR;CCR;CPR;EPR;ESM;HOR;KIM;LPR;MAP;NAU;NEU;NOM;NPR;NSM;SBP;SCR;SSM;WCR,DCH;DCK;DCS;DJA;DKM;DMK;DND;DNI;DSC;DSQ;DSS,2;3;5;6;7;8,CXRD;STRD;SLRD;TNRD;CBRD;MWRD;CCRD;KSRD;BNRD;PRRD;SKRD;OSRD;FVRD,Whistler,"Woodland, Forest",NA,Classification; Monitor Trend,2,4,2,4,N,NA
2011,Abies lasiocarpa / Ledum glandulosum / Vaccinium scoparium,subalpine fir / trapper's tea / grouseberry,CEBC000181,GNR,NA,S5,31/03/2001,22/09/1994,Yellow,NA,NA,ESSFdc1/05;ESSFdc2/08,CAP;HOR;NOH;NSH;OKR;PAR;SFH;WOU,DAB;DCK;DCS;DHW;DKA;DMH;DOS,3;4;5;8,CKRD;TNRD;CORD;NORD;CBRD;KBRD;OSRD;FVRD,Rossland,Forest,NA,No New Actn,6,6,6,6,N,NA
2011,Abies lasiocarpa / Lonicera involucrata / Athyrium filix-femina,subalpine fir / black twinberry / lady fern,CEBC000012,GNR,NA,S4,31/03/2001,31/03/2001,Yellow,NA,NA,ESSFwk1/04,BOV;CAM;CAP;MCP;QUH;QUL;UFT,DCC;DHW;DMH;DPG;DQU,3;5;7,TNRD;CBRD;FFRD,Wells,Forest,NA,No New Actn,4,4,4,5,N,NA
2011,Abies lasiocarpa / Menziesia ferruginea / Equisetum arvense,subalpine fir / false azalea / common horsetail,CEBC000345,GNR,NA,S5,31/03/2001,04/03/1993,Yellow,NA,NA,ESSFdk1/05;ESSFdk1/06,COC;ELV;EPM;FLV;MCR;SPK;SPM,DRM,4,EKRD,Elkford;Kimberley;Sparwood,Forest,NA,No New Actn,6,6,6,6,N,NA
2011,Abies lasiocarpa / Menziesia ferruginea / Pleurozium schreberi,subalpine fir / false azalea / red-stemmed feathermoss,CEBC000217,GNR,NA,S4,31/03/2001,22/09/1994,Yellow,NA,NA,ESSFwc2/05,BBT;CAM;CAP;CPK;NKM;NPK;NSH;NTU;QUH;SRH,DCO;DHW;DKA;DOS,3;4;7,TNRD;CSRD;CBRD;FFRD,NA,Forest,NA,Classification,4,4,4,5,N,NA
2011,Abies lasiocarpa / Menziesia ferruginea - Rhododendron albiflorum,subalpine fir / false azalea - white-flowered rhododendron,CEBC000494,GNR,NA,S5,31/03/2001,22/09/1994,Yellow,NA,NA,ESSFmm1/04,BBT;CAM;CPK;NPK;SHR;UFT,DCC;DCO;DHW;DPG,3;4;5;7,TNRD;CSRD;CBRD;FFRD,NA,Forest,NA,No New Actn,6,6,6,6,N,NA
2011,Abies lasiocarpa / Menziesia ferruginea / Rhytidiopsis robusta,subalpine fir / false azalea / pipecleaner moss,CEBC000368,GNR,NA,S5,31/03/2001,23/03/1993,Yellow,NA,NA,ESSFwm/01;ESSFwm/04,CCM;ELV;EPM;FLV;NKM;SCM;SPK;SPM,DAB;DCO;DKL;DRM,4,EKRD;CKRD;CSRD,NA,Forest,NA,No New Actn,6,6,6,6,N,NA
2011,Abies lasiocarpa / Menziesia ferruginea - Ribes lacustre,subalpine fir / false azalea - black gooseberry,CEBC000491,GNR,NA,S5,31/03/2001,22/09/1994,Yellow,NA,NA,ESSFmm1/01,BBT;CAM;CPK;NPK;SHR;UFT,DCC;DCO;DHW;DPG,3;4;5;7,TNRD;CSRD;CBRD;FFRD,NA,Forest,NA,Monitor Trend,6,6,6,6,N,NA
2011,Abies lasiocarpa / Menziesia ferruginea - Shepherdia canadensis,subalpine fir / false azalea - soopolallie,CEBC000344,GNR,NA,S5,31/03/2001,23/03/1993,Yellow,NA,NA,ESSFdk1/04,COC;ELV;EPM;FLV;MCR;SPK;SPM,DRM,4,EKRD,Elkford;Kimberley;Sparwood,Forest,NA,No New Actn,6,6,6,6,N,NA
2011,Abies lasiocarpa / Menziesia ferruginea / Tiarella trifoliata,subalpine fir / false azalea / three-leaved foamflower,CEBC000341,GNR,NA,S5,31/03/2001,23/03/1993,Yellow,NA,NA,ESSFdk1/01,COC;ELV;EPM;FLV;MCR;SPK;SPM,DRM,4,EKRD,Elkford;Kimberley;Sparwood,Forest,NA,No New Actn,6,6,6,6,N,NA
2011,Abies lasiocarpa / Menziesia ferruginea / Vaccinium scoparium,subalpine fir / false azalea / grouseberry,CEBC000343,GNR,NA,S5,31/03/2001,23/03/1993,Yellow,NA,NA,ESSFdk1/03,COC;ELV;EPM;FLV;MCR;SPK;SPM,DRM,4,EKRD,Elkford;Kimberley;Sparwood,Forest,NA,No New Actn,6,6,6,6,N,NA
2011,Abies lasiocarpa / Oplopanax horridus / Athyrium filix-femina,subalpine fir / devil's club / lady fern,CEBC000013,GNR,NA,S5,31/03/2001,04/03/1993,Yellow,NA,NA,ESSFmc/07;ESSFmk/05;ESSFmm1/06;ESSFvc/04;ESSFwc1/03;ESSFwc2/07;ESSFwk1/05;ESSFwv/06,BAU;BBT;BOV;BUB;BUR;CAM;CAP;CBR;CCM;CPK;CRU;ESM;KIM;MAP;MCP;MEM;NAB;NAM;NAU;NBR;NEU;NKM;NOH;NOM;NPK;NSH;NSM;NTU;QUH;QUL;SBP;SBR;SCM;SFH;SHR;SRH;SSM;STH;TAG;TEP;THH;UFT;WCR,DAB;DCC;DCO;DHW;DJA;DKA;DKL;DKM;DMH;DMK;DNC;DND;DNI;DOS;DPG;DQU;DSS,3;4;5;6;7;8,CKRD;TNRD;NORD;CSRD;CBRD;CCRD;KSRD;KBRD;BNRD;FFRD;PRRD;SKRD,Stewart;Wells;Rossland,Forest,NA,No New Actn,6,6,6,6,N,NA
2011,Abies lasiocarpa / Oplopanax horridus - Rhododendron albiflorum,subalpine fir / devil's club - white-flowered rhododendron,CEBC000506,GNR,NA,S5,31/03/2001,22/09/1994,Yellow,NA,NA,ESSFmv2/05;ESSFmv3/05;ESSFwk2/04,BAU;ESM;FRR;HAF;KIP;MAP;MCP;MIR;NEL;NHR;NOM;PAT;PEF;SHR;SOM;UFT,DHW;DJA;DMK;DND;DPC;DPG;DSS,6;7;9,BNRD;FFRD;PRRD;SKRD,Chetwynd;Mackenzie;Hudsons Hope;Tumbler Ridge,Forest,NA,No New Actn,5,5,6,5,N,NA
2011,Abies lasiocarpa / Parnassia fimbriata - Equisetum spp.,subalpine fir / fringed grass-of-Parnassus - horsetails,CEBC000212,GNR,NA,SNR,07/07/2004,07/07/2004,No Status,NA,NA,ESSFwc2/00,BBT;CAM;CAP;CPK;NKM;NPK;NSH;NTU;QUH;SRH,DCO;DHW;DKA;DOS,3;4;7,TNRD;CSRD;CBRD;FFRD,NA,Forest,NA,Classification,Not Assessed,Not Assessed,Not Assessed,Not Assessed,N,NA
2011,Abies lasiocarpa - Picea mariana / Ledum groenlandicum,subalpine fir - black spruce / Labrador tea,CEBC000504,GNR,NA,S4,11/07/2002,11/07/2002,Yellow,NA,NA,ESSFmv2/03;ESSFmv3/03;ESSFmv4/03,BAU;CAR;EMR;ESM;FRR;FRT;HAF;HAP;KIP;MAP;MIR;MUF;NEL;NOM;PAT;PEF;SHR;SOM;WMR,DJA;DMK;DND;DPC;DPG;DSS,6;7;9,BNRD;FFRD;PRRD;SKRD,Chetwynd;Hudsons Hope;Tumbler Ridge,Forest,NA,No New Actn,4,5,4,5,N,NA
2011,Abies lasiocarpa - Pinus albicaulis / Juniperus communis,subalpine fir - whitebark pine / common juniper,CEBC000192,G3,NA,S3,14/04/2009,31/03/2006,Blue,NA,NA,ESSFdv/03,LPR;SCR,DCS;DSQ,2;3,SLRD;TNRD,NA,"Forest, Woodland",Y,Monitor Trend,2,2,2,3,N,NA
2011,Abies lasiocarpa - Pinus contorta / Cladonia spp.,subalpine fir - lodgepole pine / clad lichens,CEBC000786,GNR,NA,S4,11/07/2002,15/06/2000,Yellow,NA,NA,ESSFwv/02,BUR;CBR;CRU;ESM;MEM;NAB;NAM;NBR;NSM;SBP;SBR;SSM;STH;TAG;TEP;THH,DJA;DKM;DNC;DSS,6,KSRD;BNRD;SKRD,Stewart,"Woodland, Forest",NA,Classification,4,4,4,5,N,NA
2011,Abies lasiocarpa / Rhododendron albiflorum / Athyrium filix-femina,subalpine fir / white-flowered rhododendron / lady fern,CEBC000547,GNR,NA,S4,31/03/2001,22/09/1994,Yellow,NA,NA,ESSFwc4/05;ESSFwk2/05,CCM;FRR;HAF;MCP;MIR;NEL;NHR;NKM;NOH;PAT;PEF;SCM;SFH;SHR;SRH;UFT,DAB;DCO;DHW;DKL;DMK;DOS;DPC;DPG,3;4;7;8;9,CKRD;NORD;CSRD;KBRD;FFRD;PRRD,Mackenzie;Rossland;Tumbler Ridge,Forest,NA,No New Actn,4,4,4,5,N,NA
2011,Abies lasiocarpa / Rhododendron albiflorum / Barbilophozia lycopodioides,subalpine fir / white-flowered rhododendron / common leafy liverwort,CEBC000204,GNR,NA,S4S5,31/03/2001,22/09/1994,Yellow,NA,NA,ESSFvc/02;ESSFvv/03,CPK;NKM;NSH,DAB;DCO;DHW;DOS,2;3;4;5;6;7;8;9,EKRD;CXRD;STRD;CKRD;SLRD;TNRD;CORD;NORD;CSRD;CBRD;MWRD;CCRD;KSRD;KBRD;BNRD;FFRD;PRRD;SKRD;OSRD;FVRD,NA,"Woodland, Forest",NA,Classification,5,5,6,5,N,NA
