Year,Scientific Name,English Name,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,BC List,Identified Wildlife,Land Use Objectives,Biogeoclimatic Units,Ecosection,Forest District,MOE Region,Regional Dist,Municipality,Ecosystem Group,Endemic,CF Action Groups,CF Highest Priority,CF Priority Goal 1,CF Priority Goal 2,CF Priority Goal 3,CDC Maps,Mapping Status
2017,Juncus arcticus - Plantago macrocarpa,arctic rush - Alaska plantain,CEBC003035,GNR,NA,S1,30/03/2007,30/03/2007,Red,NA,NA,CDFmm/Ed03;CWH/Ed03,CPR;FRL;GEL;JDF;JOS;LIM;NAL;NIM;NWL;OUF;QCS;QCT;SGI;SOG;SPR;VIS;WIM,DCK;DCR;DNI;DSC;DSI;DSQ,1;2,MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD;SLRD;MWRD,Delta;Sayward;Anmore;Port Moody;Highlands;Richmond;Port Hardy;Alert Bay;Port McNeill;Lions Bay;Gibsons;Sooke;Bowen Island;Central Saanich;Lantzville;Pitt Meadows;Port Coquitlam;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;Comox;Squamish;North Saanich;Sidney;Vancouver;Parksville;Campbell River;Courtenay;Powell River;Sechelt;North Vancouver (District);North Vancouver (City);Burnaby;North Cowichan;New Westminster;Saanich;Nanaimo;Coquitlam;West Vancouver;Belcarra,Estuarine Realm: Estuarine Meadow Class (Ed),Y,Monitor Trend; Plan; Status Rpt,1,1,6,2,N,NA
2017,Juncus arcticus - Puccinellia nuttalliana - Suaeda calceoliformis,arctic rush - Nuttall's alkaligrass - seablite,CEBC001024,G3?,NA,S1,21/05/2010,21/05/2010,Red,NA,NA,BWBSmw/00,HAP;PEL,DPC,9,PRRD,Taylor;Hudsons Hope;Fort St. John,Terrestrial Realm - Hydrogenic Group (H): Spring-seepage Class (Hs),NA,Monitor Trend,1,3,6,1,N,NA
2017,Juncus balticus - Carex praegracilis,Baltic rush - field sedge,CEBC001025,G3G4,NA,S3,24/06/2004,24/06/2004,Blue,NA,NA,BG/Gs03;BGxh2/Gs03;IDFdk1/Gs03;IDFdk2/Gs03;IDFdk3/Gs03;IDFdk3/W3;IDFdk4/Gs03;IDFdm1/Gs03;IDFdm2/Gs03;IDFdw/Gs03;IDFxh4/Gs03;IDFxm/Gs03;PP/Gs03;PPdh2/Gs03;PPxh3/Gs03;SBPSdc/Gs03;SBPSxc/Gs03;SBPSxc/W2,CAB;CAP;CCR;CHP;CPR;EKT;ELV;EPM;FLV;FRB;GUU;HOR;MCR;NAU;NIB;NOB;NOH;NTU;OKR;PAR;QUL;SCR;SFH;SHB;SOB;SOH;SPK;SPM;SRH;THB;TRU;UCV;WCR;WCU;WOU,DAB;DCC;DCH;DCK;DCS;DKA;DMH;DNI;DOS;DPG;DQU;DRM;DVA,3;4;5;7;8,EKRD;SLRD;TNRD;CORD;NORD;CSRD;CBRD;CCRD;KBRD;OSRD,Cranbrook;Cache Creek;Ashcroft;Invermere;Radium Hot Springs;100 Mile House;Greenwood;Clinton;Grand Forks;Osoyoos;Penticton;Barriere;Canal Flats;West Kelowna;Sun Peaks Mountain Resort;Kamloops;Kelowna;Kimberley;Princeton;Summerland;Lake Country;Midway;Coldstream;Oliver;Williams Lake;Keremeos;Merritt;Peachland;Logan Lake;Lytton;Lillooet,Terrestrial Realm - Grassland Group (G): Alkaline/Saline Meadow Class (Ga),NA,Eco Protect; Eco Restore; Inventory; Plan; Private Land; Review Use; Status Rpt,2,3,2,3,Y,NA
2017,Juncus balticus - Potentilla anserina,Baltic rush - common silverweed,CEBC001026,GNR,NA,S2,31/10/2004,31/07/2002,Red,NA,NA,BGxh1;BGxw1/Wm07;BGxw2/Wm07;IDFxh1;IDFxm/Wm07;PPxh1/Wm07,CAB;CCR;CHP;FRB;GUU;HOR;NIB;NOB;NOH;OKR;PAR;QUL;SHB;SOB;SRH;THB;WOU,DCC;DCH;DCS;DKA;DMH;DOS;DQU,3;5;8,TNRD;CORD;NORD;CSRD;CBRD;KBRD;OSRD,Spallumcheen;Armstrong;Lumby;Osoyoos;Penticton;West Kelowna;Kamloops;Kelowna;Princeton;Vernon;Summerland;Lake Country;Coldstream;Oliver;Williams Lake;Keremeos;Merritt;Peachland,Wetland Realm - Mineral Wetland Group: Marsh Wetland Class (Wm),NA,Eco Protect; Eco Restore; Inventory; Plan; Private Land; Review Use; Status Rpt,2,2,6,2,Y,NA
2017,Juncus parryi Herbaceous Vegetation,Parry's rush Herbaceous Vegetation,CEBC002041,GNR,NA,SNR,NA,NA,No Status,NA,NA,ESSFdc1;IMA,CAM;CCM;CCR;COC;CPK;CPR;ELV;EPM;EPR;FLV;FRR;HOR;LPR;NKM;NOH;NPK;NSH;NTU;OKR;PAR;QUH;SCR;SFH;SHR;SPK;SPM;SRH,DAB;DCC;DCH;DCK;DCO;DCS;DHW;DKA;DKL;DMH;DNI;DOS;DPG;DQU;DRM;DSC;DSQ,2;3;4;5;7;8,EKRD;STRD;CKRD;SLRD;TNRD;CORD;NORD;CSRD;CBRD;MWRD;KBRD;FFRD;PRRD;OSRD;FVRD,;Rossland,Terrestrial Realm - Alpine Group (A): Alpine,Y,No New Actn,Not Assessed,Not Assessed,Not Assessed,Not Assessed,N,NA
2017,Juniperus communis / Pseudoroegneria spicata,common juniper / bluebunch wheatgrass,CEBC000184,GNR,NA,S2,31/10/2004,21/06/2002,Red,NA,NA,ESSFdc2/02;MSdm2/02,HOR;NIB;NOB;OKR;PAR;SHB;WOU,DCK;DCS;DKA;DOS,3;8,TNRD;CORD;NORD;CSRD;OSRD;FVRD,West Kelowna,Terrestrial Realm - Subalpine Shrub Group (S): Krummholz Class (Sk),NA,Monitor Trend,2,2,6,3,N,NA
2017,Juniperus communis / Trichophorum cespitosum / Racomitrium lanuginosum,common juniper / tufted clubrush / hoary rock-moss,CEBC003036,G4,NA,S4,14/07/2004,14/07/2004,Yellow,NA,NA,CWHvh2/32;CWHvh2/Wb52,CNS;CPR;DIE;HEL;HES;KIR;NCF;NPR;QCR;QCS;SBR;SKP,DKM;DNC;DNI;DQC,5;6,CCRD;SQCRD;KSRD,Prince Rupert;Port Edward,Wetland Realm - Peatland Group: Bog Wetland Class (Wb),Y,No New Actn,3,3,4,5,N,NA
2017,Juniperus communis Shrubland,common juniper shrubland,CEBC002042,GNR,NA,SNR,NA,NA,No Status,NA,NA,BAFA;ESSFdc1;IMA;SWBmk,ALR;BAU;BUB;BUR;CAM;CAR;CBR;CCM;CCR;COC;CPK;CPR;CRU;ELV;EMR;EPM;EPR;ESM;FLV;FRR;FRT;HAF;HAP;HOR;HYP;KEM;KIM;KIR;KLR;KRT;LIP;LPR;MAP;MEM;MIR;MUF;MUU;NAM;NAU;NBR;NEU;NHR;NKM;NOH;NOM;NPK;NPR;NSH;NSM;NTU;OKR;PAR;PEF;QUH;RAP;SBP;SBR;SCR;SCU;SFH;SHR;SIU;SOM;SPK;SPM;SRH;SSM;STH;STP;TAB;TAG;TEB;TEP;THH;TUR;WCR;WCU;WMR,DAB;DCC;DCH;DCK;DCO;DCS;DFN;DHW;DJA;DKA;DKL;DKM;DMH;DMK;DNC;DND;DNI;DOS;DPC;DPG;DQU;DRM;DSC;DSQ;DSS;DVA,2;3;4;5;6;7;8;9,EKRD;STRD;CKRD;SLRD;TNRD;CORD;NORD;CSRD;CBRD;MWRD;CCRD;KSRD;KBRD;BNRD;FFRD;PRRD;SKRD;NRRD;OSRD;FVRD,Northern Rockies;;Rossland;Tumbler Ridge,Terrestrial Realm - Subalpine Shrub Group (S): Krummholz Class (Sk),Y,No New Actn,3,3,4,4,N,NA
2017,Juniperus scopulorum - Artemisia tridentata / Pseudoroegneria spicata,Rocky Mountain Juniper - Big Sagebrush / Bluebunch Wheatgrass,CEBC003123,GNR,NA,S1S2,02/03/2015,02/03/2015,Red,NA,NA,BGxh3/Gs05,FRB;PAR,DCC;DCS;DMH,3;5,SLRD;TNRD;CBRD,NA,Terrestrial Realm - Grassland Group (G): Shrub Steppe Class (Gs),NA,NA,NA,NA,NA,NA,NA,NA
2017,Kalmia procumbens Herbaceous Vegetation,alpine-azalea Herbaceous Vegetation,CEBC002045,GNR,NA,SNR,NA,NA,No Status,NA,NA,BAFA;BWBSdk;SWB,ALR;BAU;BUB;BUR;CAM;CAR;CBR;CCR;CPR;CRU;EMR;ESM;FRR;FRT;HAF;HAP;HYP;KEM;KIM;KIR;KLR;KRT;LIP;MAP;MEM;MIR;MUF;MUU;NAM;NAU;NBR;NEU;NHR;NOM;NPK;NPR;NSM;PAT;PEF;RAP;SBP;SBR;SCR;SCU;SHR;SIU;SOM;SSM;STH;STP;TAB;TAG;TEB;TEP;THH;TUR;WCR;WCU;WHU;WMR,DCC;DCH;DCS;DFN;DHW;DJA;DKM;DMK;DNC;DND;DNI;DPC;DPG;DQU;DSC;DSS;DVA,2;3;5;6;7;9,STRD;SLRD;TNRD;CBRD;MWRD;CCRD;KSRD;BNRD;FFRD;PRRD;SKRD;NRRD,Northern Rockies;Tumbler Ridge,Terrestrial Realm - Alpine Group (A): Alpine,Y,No New Actn,4,4,4,5,N,NA
